ulog_timestamp_us,time_from_offboard_s,x_m,y_m,x_ref_m,y_ref_m,outside_corridor_m
485644000,1.488,1.2161060571670532,0.06393853574991226,1.395,0.0,0.0
485652000,1.496,1.226059913635254,0.06340528279542923,1.4024999999999999,0.0,0.0
485660000,1.504,1.236005187034607,0.06286659091711044,1.4100000000000001,0.0,0.0
485668000,1.512,1.245941400527954,0.06232237070798874,1.4174999999999998,0.0,0.0
485676000,1.52,1.2558684349060059,0.06177287548780441,1.425,0.0,0.0
485684000,1.528,1.2657907009124756,0.061221636831760406,1.4324999999999999,0.0,0.0
485692000,1.536,1.2757034301757812,0.06066519767045975,1.4400000000000002,0.0,0.0
485700000,1.544,1.2856061458587646,0.060103751718997955,1.4474999999999998,0.0,0.0
485708000,1.5519999999999998,1.2954905033111572,0.05897752195596695,1.4549999999999998,0.0,0.0
485716000,1.5599999999999998,1.3053646087646484,0.057859234511852264,1.4625,0.0,0.0
485724000,1.5679999999999998,1.3152284622192383,0.05674866586923599,1.4699999999999998,0.0,0.0
485732000,1.5759999999999998,1.325081706047058,0.05564557760953903,1.4774999999999998,0.0,0.0
485740000,1.5839999999999999,1.334924340248108,0.05454971641302109,1.4849999999999999,0.0,0.0
485748000,1.5919999999999999,1.3447433710098267,0.05346206575632095,1.4925,0.0,0.0
485756000,1.5999999999999999,1.3545515537261963,0.052381522953510284,1.4999999999999998,0.0,0.0
485764000,1.6079999999999999,1.3643485307693481,0.051307909190654755,1.5,0.0066666666666664876,0.0
485772000,1.6159999999999999,1.3741343021392822,0.050241224467754364,1.5,0.01333333333333316,0.0
485780000,1.6239999999999999,1.383908987045288,0.04918145388364792,1.5,0.019999999999999834,0.0
485788000,1.632,1.3936724662780762,0.04812856763601303,1.5,0.026666666666666505,0.0
485796000,1.64,1.403424620628357,0.04708247631788254,1.5,0.03333333333333318,0.0
485804000,1.648,1.4131659269332886,0.04604243487119675,1.5,0.039999999999999855,0.0
485812000,1.656,1.4228969812393188,0.04500771313905716,1.5,0.04666666666666652,0.0
485820000,1.664,1.4326167106628418,0.04397595673799515,1.5,0.0533333333333332,0.0
485828000,1.672,1.4423245191574097,0.04295211285352707,1.5,0.05999999999999987,0.0
485836000,1.68,1.4524891376495361,0.042170144617557526,1.5,0.06666666666666654,0.0
485844000,1.688,1.46262526512146,0.041399069130420685,1.5,0.07333333333333322,0.0
485852000,1.696,1.4727294445037842,0.04064392298460007,1.5,0.07999999999999989,0.0
485860000,1.704,1.482797622680664,0.03990980237722397,1.5,0.08666666666666656,0.0
485868000,1.712,1.4928253889083862,0.03920181840658188,1.5,0.09333333333333324,0.0
485876000,1.72,1.5028084516525269,0.038525067269802094,1.5,0.09999999999999991,0.0
485884000,1.728,1.5127421617507935,0.037884362041950226,1.5,0.10666666666666658,0.0
485892000,1.736,1.522617220878601,0.03728646785020828,1.5,0.11333333333333326,0.0
485900000,1.744,1.5324336290359497,0.03673378378152847,1.5,0.11999999999999993,0.0
485908000,1.752,1.5421866178512573,0.036230675876140594,1.5,0.1266666666666666,0.0
485916000,1.76,1.5518712997436523,0.03578134626150131,1.5,0.13333333333333328,0.0
485924000,1.768,1.5614829063415527,0.035389937460422516,1.5,0.13999999999999996,0.0
485932000,1.776,1.571016788482666,0.03506026417016983,1.5,0.1466666666666666,0.0
485940000,1.784,1.580468773841858,0.034795694053173065,1.5,0.1533333333333333,0.0
485948000,1.7919999999999998,1.5898343324661255,0.034599609673023224,1.5,0.15999999999999978,0.0
485956000,1.7999999999999998,1.5991095304489136,0.03447528928518295,1.5,0.16666666666666646,0.0
485964000,1.8079999999999998,1.6084978580474854,0.03387279063463211,1.5,0.17333333333333312,0.0
485972000,1.8159999999999998,1.6177845001220703,0.03335519880056381,1.5,0.1799999999999998,0.0
485980000,1.8239999999999998,1.626966118812561,0.03292452543973923,1.5,0.18666666666666648,0.0
485988000,1.8319999999999999,1.6360398530960083,0.03258261829614639,1.5,0.19333333333333313,0.0
485996000,1.8399999999999999,1.6450029611587524,0.03233098238706589,1.5,0.19999999999999982,0.0
486004000,1.8479999999999999,1.6538530588150024,0.03217088431119919,1.5,0.2066666666666665,0.0
486012000,1.8559999999999999,1.6625877618789673,0.03210345655679703,1.5,0.21333333333333315,0.0
486020000,1.8639999999999999,1.671204924583435,0.032129816710948944,1.5,0.21999999999999983,0.0
486028000,1.8719999999999999,1.6797090768814087,0.032246313989162445,1.5,0.22666666666666652,0.0
486036000,1.88,1.6880921125411987,0.03245825320482254,1.5,0.23333333333333317,0.008092112541198793
